Accession;TM domains;Signal peptide;TM string
P48775;0;0;i
P48788;0;0;i
P48960;7;Y;n5-15c20/21o553-572i584-601o621-642i654-674o694-716i737-760o766-789i
P48995;8;0;i351-371o387-407i419-437o457-476i496-517o537-559i587-608o620-642i
P49005;0;0;i
P49006;0;0;i
P49019;7;0;o33-52i64-84o104-127i139-163o191-212i232-254o274-296i
P49023;0;0;i
P49069;3;0;i190-207o213-231i270-288o
P49116;0;0;i
P49137;0;0;i
P49146;7;0;o54-76i88-108o128-146i166-186o218-239i269-291o303-324i
P49184;0;Y;n5-13c18/19o
P49189;0;0;i
P49190;7;Y;n4-16c24/25o145-166i178-196o232-254i275-296o316-334i365-387o399-416i
P49207;0;0;i
P49221;0;0;i
P49238;7;0;o36-56i68-87o107-125i146-167o197-220i232-253o273-296i
P49247;0;0;i
P49257;1;Y;n16-25c30/31o479-498i
P49279;12;0;i58-78o84-105i136-162o168-187i199-217o241-259i280-306o345-371i398-418o430-451i463-483o495-516i
P49281;12;0;i70-85o97-118i148-174o180-198i210-227o256-275i296-319o361-382i409-428o448-466i478-499o505-527i
P49286;7;0;o38-65i77-103o115-136i157-180o200-228i249-276o288-311i
P49321;0;Y;n5-13c18/19o
P49326;1;Y;n6-16c21/22o514-532i
P49327;0;0;i
P49335;0;0;i
P49336;0;0;i
P49354;0;0;i
P49356;0;0;i
P49366;0;0;i
P49368;0;0;i
P49407;0;0;i
P49411;0;Y;n3-10c22/23o
P49418;0;0;i
P49419;0;0;i
P49427;0;0;i
P49447;6;0;i12-37o57-75i87-106o126-148i160-179o199-219i
P49448;0;0;i
P49450;0;0;i
P49454;0;0;i
P49458;0;0;i
P49459;0;0;i
P49585;0;0;i
P49588;0;0;i
P49589;0;0;i
P49590;0;Y;n3-8c13/14o
P49591;0;0;i
P49593;0;0;i
P49619;0;0;i
P49638;0;0;i
P49639;0;0;i
P49640;0;0;i
P49641;1;0;i7-26o
P49642;0;0;i
P49643;0;0;i
P49662;0;0;i
P49674;0;0;i
P49675;0;0;i
P49682;7;0;o58-79i91-109o129-147i168-190o217-244i256-281o301-321i
P49683;7;0;o62-86i98-122o128-155i175-196o224-246i277-294o314-338i
P49685;6;0;o38-58i70-90o110-129i149-170o194-218i239-257o
P49703;0;0;i
P49711;0;0;i
P49715;0;0;i
P49716;0;Y;n3-8c14/15o
P49720;0;0;i
P49721;0;0;i
P49736;0;0;i
P49746;0;Y;n8-18c22/23o
P49747;0;Y;n6-17c22/23o
P49748;0;0;i
P49753;0;0;i
P49754;0;0;i
P49755;1;Y;n14-24c31/32o186-208i
P49756;0;0;i
P49757;0;0;i
P49758;0;0;i
P49759;0;0;i
P49760;0;0;i
P49761;0;0;i
P49763;0;Y;n6-15c20/21o
P49765;0;Y;n8-19c26/27o
P49767;0;Y;n4-19c31/32o
P49768;8;0;i82-100o133-154i161-183o195-213i225-241o247-263i408-428o434-453i
P49770;0;0;i
P49771;1;Y;n12-20c25/26o186-206i
P49773;0;0;i
P49788;0;Y;n21-32c37/38o
P49789;0;0;i
P49790;0;0;i
P49792;0;0;i
P49795;0;0;i
P49796;0;0;i
P49798;0;0;i
P49802;0;0;i
P49810;8;0;i88-106o139-160i167-189o201-219i226-244o250-269i389-409o415-434i
P49815;1;0;o881-898i
P49821;0;0;i
P49840;0;0;i
P49841;0;0;i
P49842;0;0;i
P49848;0;0;i
P49862;0;Y;n5-16c21/22o
P49863;0;Y;n4-14c18/19o
P49888;0;0;i
P49895;1;0;o12-33i
P49901;0;0;i
P49902;0;0;i
P49903;0;0;i
P49908;0;Y;n4-14c21/22o
P49910;0;0;i
P49913;0;Y;n15-26c34/35o
P49914;0;0;i
P49915;0;0;i
P49916;0;0;i
P49917;0;0;i
P49918;0;0;i
P49959;0;0;i
P49961;2;0;i17-37o477-499i
P50052;7;0;o49-70i82-100o120-140i160-181o217-234i254-278o298-321i
P50053;0;Y;n6-14c22/23o
P50135;0;0;i
P50148;0;0;i
P50150;0;0;i
P50151;0;0;i
P50213;0;0;i
P50219;0;0;i
P50221;0;0;i
P50222;0;0;i
P50225;0;0;i
P50226;0;0;i
P50238;0;0;i
P50281;1;Y;n10-23c28/29o539-562i
P50336;0;Y;n4-12c16/17o
P50391;7;Y;n3-11c16/17o40-67i79-104o116-137i157-176o213-237i263-281o301-325i
P50395;0;0;i
P50402;1;0;o225-246i
P50406;7;0;o28-51i63-80o100-122i143-166o186-209i263-284o304-323i
P50416;2;0;i50-71o104-126i
P50440;0;0;i
P50443;8;0;i108-129o149-172i216-235o241-265i378-398o418-441i453-476o513-544i
P50452;0;0;i
P50453;0;0;i
P50454;0;Y;n3-13c18/19o
P50458;0;0;i
P50461;0;0;i
P50479;0;0;i
P50502;0;0;i
P50539;0;0;i
P50542;0;0;i
P50548;0;0;i
P50549;0;0;i
P50552;0;0;i
P50553;0;Y;n28-39c47/48o
P50570;0;0;i
P50579;0;0;i
P50583;0;0;i
P50591;1;0;o12-38i
P50607;0;0;i
P50613;0;0;i
P50616;0;0;i
P50747;0;0;i
P50748;0;0;i
P50749;0;0;i
P50750;0;0;i
P50851;2;0;o1406-1425i1531-1548o
P50876;1;0;i250-276o
P50895;1;Y;n16-26c31/32o549-571i
P50897;0;Y;n5-15c20/21o
P50914;0;0;i
P50990;0;0;i
P50991;0;0;i
P50993;8;0;i94-116o128-147i289-313o319-342i850-871o910-929i950-967o982-998i
P50995;0;0;i
P51003;0;0;i
P51114;0;0;i
P51116;0;0;i
P51124;0;Y;n4-15c23/24o
P51148;0;0;i
P51149;0;Y;n7-15c20/21o
P51151;0;0;i
P51153;0;0;i
P51157;0;0;i
P51159;0;0;i
P51160;1;0;o660-678i
P51161;0;0;i
P51164;1;0;i37-63o
P51168;2;0;i50-70o528-556i
P51170;2;0;i54-79o535-561i
P51172;2;0;i252-271o698-724i
P51178;0;0;i
P51397;0;0;i
P51398;0;0;i
P51449;0;0;i
P51451;0;0;i
P51452;0;0;i
P51460;0;Y;n5-13c20/21o
P51511;1;Y;n29-40c45/46o626-647i
P51512;1;Y;n20-31c36/37o564-585i
P51513;0;0;i
P51530;0;0;i
P51531;0;0;i
P51532;0;0;i
P51553;0;0;i
P51570;0;0;i
P51571;0;Y;n7-18c23/24o
P51572;3;0;o6-28i40-64o103-120i
P51575;2;0;i31-50o335-357i
P51580;0;0;i
P51582;6;0;o40-61i73-95o115-135i151-174o197-223i244-263o
P51587;0;0;i
P51589;0;Y;n2-13c31/32o
P51606;0;0;i
P51608;0;0;i
P51610;0;0;i
P51617;0;0;i
P51636;1;0;i87-114o
P51648;1;0;i464-482o
P51649;0;0;i
P51654;1;Y;n7-18c24/25o562-579i
P51659;0;Y;n11-21c26/27o
P51665;0;0;i
P51668;0;0;i
P51671;0;Y;n3-14c23/24o
P51674;4;0;i21-43o83-105i126-150o213-241i
P51677;7;0;o40-60i72-91o111-134i146-166o203-227i239-261o281-304i
P51679;7;0;o45-65i77-100o112-130i151-174o200-222i243-264o284-307i
P51681;6;0;o36-56i68-87o107-129i141-166o198-221i233-251o
P51684;7;0;o51-74i83-104o124-145i166-185o219-242i254-279o299-319i
P51685;7;0;o36-61i73-91o111-129i150-172o200-219i239-260o280-303i
P51686;6;0;o54-74i86-108o128-146i167-186o219-240i252-270o
P51687;0;Y;n2-10c15/16o
P51688;0;Y;n5-15c20/21o
P51690;2;Y;n15-26c31/32o199-220i227-249o
P51692;0;0;i
P51693;1;Y;n20-31c35/36o581-603i
P51784;0;0;i
P51787;6;0;i123-142o148-173i200-223o262-284i296-315o327-353i
P51788;12;0;o91-113i134-156o176-196i208-227o239-263i275-295o321-343i364-383o431-452i459-481o501-522i529-548o
P51790;11;0;o126-150i214-236o256-277i284-301o313-337i349-366o386-408i428-447o499-520i532-553o573-598i
P51793;11;0;o68-92i153-175o195-215i227-243o255-279i291-312o332-356i368-385o441-461i468-487o515-540i
P51795;10;0;i125-145o210-235i256-276o312-336i348-366o386-407i427-444o497-517i524-543o571-596i
P51797;12;0;i81-106o126-150i180-197o203-220i241-264o276-294i334-352o372-396i463-482o488-507i519-545o551-568i
P51798;11;0;i127-148o176-197i227-245o288-311i323-345o375-399i411-433o488-506i518-541o547-569i581-602o
P51800;10;0;o50-75i161-180o200-224i236-256o282-302i326-349o396-416i423-446o466-488i495-512o
P51801;11;0;o50-70i90-110o161-180i201-224o236-256i282-306o326-349i396-419o425-448i468-489o495-512i
P51805;1;Y;n4-14c19/20o1220-1242i
P51808;0;0;i
P51809;1;0;i189-214o
P51810;7;0;o28-49i70-90o110-135i155-178o198-224i245-270o290-314i
P51811;8;Y;n5-16c25/26o35-58i70-92o167-185i206-229o235-258i270-298o318-338i350-373o
P51812;0;0;i
P51813;0;0;i
P51814;0;0;i
P51816;0;0;i
P51817;0;0;i
P51825;0;0;i
P51826;0;0;i
P51828;12;0;i34-53o65-85i92-116o122-140i147-170o176-196i597-614o620-641i666-689o719-738i745-762o801-821i
P51841;1;Y;n11-22c30/31o468-490i
P51843;0;0;i
P51854;0;0;i
P51857;0;0;i
P51858;0;0;i
P51864;1;0;i12-32o
P51878;0;0;i
P51884;0;Y;n3-13c18/19o
P51888;0;Y;n5-15c20/21o
P51946;0;0;i
P51948;0;0;i
P51955;0;0;i
P51956;0;0;i
P51957;0;0;i
P51959;0;0;i
P51965;0;0;i
P51970;0;0;i
P51991;0;0;i
P51993;1;0;i12-34o
P52179;0;0;i
P52198;0;0;i
P52209;0;0;i
P52272;0;0;i
P52292;0;0;i
P52294;0;0;i
P52298;0;0;i
P52306;0;0;i
P52333;0;0;i
P52429;1;0;o22-42i
P52434;0;0;i
P52435;0;0;i
P52564;0;0;i
P52565;0;0;i
P52566;0;0;i
P52569;14;0;i39-56o68-87i99-125o167-184i193-211o249-269i290-319o339-358i388-407o413-434i493-512o524-545i554-577o583-603i
P52594;0;0;i
P52597;0;0;i
P52630;0;0;i
P52655;0;0;i
P52657;0;0;i
P52701;0;0;i
P52732;0;0;i
P52735;0;0;i
P52736;0;0;i
P52738;0;0;i
P52739;0;0;i
P52742;0;0;i
P52744;0;0;i
P52747;0;0;i
P52756;0;0;i
P52757;0;0;i
P52758;0;0;i
P52788;0;0;i
P52789;0;0;i
P52790;0;0;i
P52797;1;Y;n6-18c22/23o221-237i
P52798;1;Y;n3-14c22/23o180-198i
P52799;1;Y;n12-20c25/26o225-250i
P52803;1;Y;n7-15c20/21o210-227i
P52815;0;0;i
P52823;0;Y;n5-13c17/18o
P52824;0;0;i
P52848;1;0;i18-39o
P52849;1;0;i20-38o
P52888;0;0;i
P52895;0;0;i
P52907;0;0;i
P52926;0;0;i
P52945;0;0;i
P52948;0;0;i
P52951;0;Y;n16-24c29/30o
P52952;0;0;i
P52954;0;0;i
P52961;1;Y;n8-16c24/25o304-321i
P53004;0;0;i
P53007;0;0;i
P53041;0;0;i
P53350;0;0;i
P53355;0;0;i
P53365;0;0;i
P53367;0;0;i
P53370;0;0;i
P53384;0;0;i
P53396;0;0;i
P53420;0;Y;n19-30c38/39o
P53539;0;0;i
P53567;0;0;i
P53582;0;0;i
P53597;0;Y;n4-15c23/24o
P53602;0;0;i
P53609;0;0;i
P53611;0;0;i
P53618;0;0;i
P53621;0;0;i
P53634;0;Y;n6-16c24/25o
P53667;0;0;i
P53671;0;0;i
P53672;0;0;i
P53673;0;0;i
P53674;0;0;i
P53675;0;0;i
P53677;0;0;i
P53680;0;0;i
P53701;0;Y;n3-14c19/20o
P53708;1;Y;n16-27c38/39o1012-1034i
P53778;0;0;i
P53779;0;0;i
P53794;13;0;i7-28o48-70i82-102o122-144i156-183o189-210i358-376o382-398i410-432o444-462i469-491o511-532i696-716o
P53801;1;Y;n17-27c32/33o97-121i
P53803;0;0;i
P53804;1;0;i532-550o
P53805;0;0;i
P53814;0;0;i
P53816;1;0;o133-154i
P53985;11;0;o17-36i87-105o111-132i144-164o176-195i263-287o299-319i331-347o353-375i387-409o421-443i
P53990;0;0;i
P53992;0;0;i
P53999;0;0;i
P54098;0;0;i
P54105;0;0;i
P54107;0;Y;n6-16c21/22o
P54108;0;Y;n3-15c19/20o
P54132;0;0;i
P54136;0;0;i
P54198;0;0;i
P54219;12;0;i21-45o139-158i170-196o202-220i232-254o260-280i301-319o339-359i366-386o392-413i425-444o456-478i
P54252;0;0;i
P54253;0;0;i
P54257;0;0;i
P54259;0;0;i
P54274;0;0;i
P54277;0;0;i
P54278;0;0;i
P54284;0;0;i
P54289;1;Y;n3-14c18/19o1081-1099i
P54296;0;0;i
P54315;0;Y;n2-12c17/18o
P54317;0;Y;n5-12c17/18o
P54368;0;0;i
P54577;0;0;i
P54578;0;0;i
P54619;0;0;i
P54646;0;0;i
P54652;0;0;i
P54687;0;0;i
P54707;10;0;i112-133o145-164i306-330o336-359i791-811o817-839i860-885o931-950i970-989o1001-1017i
P54709;1;0;i38-62o
P54710;1;0;o30-50i
P54725;0;0;i
P54727;0;0;i
P54750;0;0;i
P54753;1;Y;n16-31c37/38o559-582i
P54756;2;0;o210-230i574-594o
P54760;1;Y;n5-16c21/22o538-563i
P54762;1;Y;n2-12c17/18o541-563i
P54764;1;Y;n3-14c19/20o548-570i
P54802;0;Y;n4-15c23/24o
P54803;0;Y;n27-37c42/43o
P54819;0;0;i
P54821;0;0;i
P54829;2;0;i88-111o145-166i
P54840;0;0;i
P54845;0;0;i
P54849;4;0;i7-30o66-88i95-115o135-154i
P54851;3;Y;n2-11c16/17o63-83i95-116o141-163i
P54852;3;Y;n3-21c26/27o65-89i96-120o140-159i
P54855;1;Y;n5-16c24/25o494-517i
P54868;0;0;i
P54886;0;0;i
P54920;0;0;i
P54922;0;Y;n5-13c18/19o
P55000;0;Y;n6-17c22/23o
P55001;0;Y;n3-11c17/18o
P55008;0;0;i
P55010;0;0;i
P55011;12;0;i291-311o317-343i364-388o408-427i436-457o487-509i521-541o602-622i655-675o681-699i711-730o736-751i
P55017;12;0;i138-157o169-194i215-239o259-278i287-306o340-362i374-393o453-474i506-525o531-552i564-580o586-605i
P55036;0;0;i
P55039;0;0;i
P55040;0;0;i
P55042;0;0;i
P55055;0;0;i
P55056;0;Y;n10-21c25/26o
P55058;0;Y;n2-12c17/18o
P55060;0;0;i
P55061;6;0;i30-47o53-73i85-107o113-133i140-160o166-187i
P55064;6;0;i9-29o41-63i84-109o129-150i162-181o204-226i
P55072;0;0;i
P55073;1;0;o48-67i
P55075;0;Y;n7-18c22/23o
P55081;0;0;i
P55082;1;Y;n3-14c18/19o149-172i
P55083;0;Y;n3-13c20/21o
P55084;0;0;i
P55085;7;Y;n6-17c22/23o76-101i110-130o150-169i190-211o242-264i285-313o325-347i
P55087;6;0;i33-51o71-94i115-136o156-177i189-211o231-253i
P55089;0;Y;n7-17c26/27o
P55107;0;Y;n16-28c36/37o
P55145;0;Y;n9-19c24/25o
P55157;0;Y;n2-13c21/22o
P55160;1;0;o994-1013i
P55196;0;0;i
P55197;0;0;i
P55198;0;0;i
P55199;0;0;i
P55201;0;0;i
P55209;0;0;i
P55210;0;0;i
P55211;0;0;i
P55212;0;0;i
P55259;1;Y;n12-23c28/29o518-536i
P55263;0;0;i
P55265;0;0;i
P55268;0;Y;n20-27c32/33o
P55273;0;0;i
P55283;1;Y;n3-14c19/20o722-755i
P55285;1;Y;n7-14c21/22o615-636i
P55286;2;0;i12-30o613-642i
P55287;1;Y;n6-17c22/23o619-640i
P55289;1;Y;n6-14c32/33o606-637i
P55290;0;Y;n7-18c22/23o
P55291;1;Y;n3-14c19/20o604-626i
P55316;0;0;i
P55317;0;0;i
P55318;0;0;i
P55327;0;0;i
P55344;3;Y;n8-19c24/25o66-87i99-121o141-163i
P55345;0;0;i
P55347;0;0;i
P55735;0;0;i
P55769;0;0;i
P55771;0;0;i
P55773;0;Y;n5-17c21/22o
P55774;0;Y;n4-15c20/21o
P55786;0;0;i
P55789;0;0;i
P55795;0;0;i
P55809;0;Y;n6-16c21/22o
P55851;0;0;i
P55854;0;0;i
P55884;0;0;i
P55895;0;0;i
P55899;1;Y;n10-18c23/24o298-321i
P55916;0;0;i
P55957;0;0;i
P56134;1;0;o62-82i
P56159;1;Y;n2-13c18/19o443-461i
P56177;0;0;i
P56178;0;0;i
P56179;0;0;i
P56180;4;0;i92-116o128-147i159-179o191-210i
P56181;0;0;i
P56182;0;0;i
P56192;0;0;i
P56199;1;Y;n11-23c28/29o1142-1169i
P56202;0;Y;n8-19c28/29o
P56211;0;0;i
P56270;0;Y;n4-11c18/19o
P56278;0;0;i
P56279;0;0;i
P56282;0;Y;n10-21c25/26o
P56373;2;0;i21-44o326-347i
P56377;0;0;i
P56381;0;0;i
P56470;0;0;i
P56524;0;0;i
P56537;0;0;i
P56539;1;0;i79-102o
P56545;0;0;i
P56556;0;0;i
P56557;4;0;i24-42o57-76i97-122o128-148i
P56559;0;0;i
P56589;0;Y;n16-26c30/31o
P56597;0;0;i
P56645;0;0;i
P56693;0;0;i
P56696;6;0;i99-121o133-153i174-199o239-258i270-287o299-324i
P56703;0;Y;n5-16c21/22o
P56704;0;Y;n2-13c18/19o
P56705;0;Y;n12-23c28/29o
P56706;0;Y;n10-21c33/34o
P56715;0;0;i
P56730;0;Y;n6-15c20/21o
P56746;4;0;i7-24o73-95i116-140o160-187i
P56747;3;Y;n8-16c21/22o79-101i122-144o164-183i
P56748;4;0;i7-27o79-100i120-145o165-188i
P56750;3;Y;n6-16c34/35o80-102i123-145o165-188i
P56817;1;Y;n4-17c21/22o458-478i
P56851;0;Y;n10-21c25/26o
P56856;3;Y;n8-18c23/24o81-101i122-149o169-195i
P56880;3;Y;n4-15c23/24o75-96i117-139o163-186i
P56915;0;0;i
P56937;1;Y;n4-19c24/25o230-253i
P56945;0;0;i
P56962;2;0;i229-249o255-275i
P56975;2;0;i66-90o361-383i
P57052;0;0;i
P57053;0;0;i
P57054;2;Y;n5-15c20/21o36-57i77-100o
P57055;0;0;i
P57057;12;0;i20-37o98-116i128-150o156-184i196-215o221-242i329-350o370-387i394-411o423-446i458-482o494-513i
P57059;0;0;i
P57071;0;0;i
P57073;0;0;i
P57075;0;0;i
P57076;0;0;i
P57078;0;0;i
P57081;0;Y;n5-16c24/25o
P57082;0;0;i
P57086;0;0;i
P57087;1;Y;n9-20c28/29o237-261i
P57088;3;0;o28-48i95-121o165-189i
P57103;10;0;o6-25i77-95o170-190i202-225o231-251i730-749o755-776i829-849o861-881i902-924o
P57105;1;0;o118-139i
P57678;0;0;i
P57679;1;0;o27-48i
P57682;0;0;i
P57721;0;0;i
P57727;1;0;o48-71i
P57729;0;0;i
P57730;0;0;i
P57735;0;0;i
P57737;0;0;i
P57739;5;0;o6-27i34-51o82-105i117-138o163-183i
P57740;0;0;i
P57764;0;0;i
P57768;0;0;i
P57771;0;0;i
P57772;0;0;i
P57789;6;Y;n8-19c24/25o72-93i154-173o185-210i231-255o267-288i300-322o
P57796;0;0;i
P58004;0;0;i
P58005;0;0;i
P58012;0;0;i
P58107;0;0;i
P58215;0;Y;n12-20c25/26o
P58304;0;0;i
P58335;1;Y;n14-25c33/34o319-341i
P58340;0;0;i
P58397;0;Y;n8-19c27/28o
P58400;1;0;o398-418i
P58401;1;Y;n33-45c50/51o592-612i
P58418;4;0;i9-34o97-123i135-156o189-209i
P58499;0;Y;n11-22c29/30o
P58546;0;0;i
P58658;1;0;o322-343i
P58743;11;0;o99-125i132-152o184-205i212-230o256-274i286-307o335-355i375-399o411-432i439-456o476-501i
P58753;0;0;i
P58876;0;0;i
P59044;2;0;o380-398i418-438o
P59046;0;0;i
P59047;0;Y;n4-15c19/20o
P59103;0;0;i
P59190;0;0;i
P59510;0;Y;n6-17c21/22o
P59542;7;0;o6-35i47-67o87-108i128-149o185-206i227-248o260-281i
P59665;0;Y;n4-15c19/20o
P59666;0;Y;n4-15c19/20o
P59773;1;0;i168-189o
P59780;0;0;i
P59817;0;0;i
P59827;0;Y;n4-15c19/20o
P59901;1;Y;n3-15c23/24o447-465i
P59910;0;0;i
P59923;0;0;i
P59942;0;0;i
P59990;0;0;i
P59991;0;0;i
P59998;0;0;i
P60006;0;0;i
P60008;0;0;i
P60014;0;0;i
P60022;0;Y;n6-16c21/22o
P60033;4;0;i12-37o57-78i90-114o202-230i
P60059;1;0;o36-54i
P60174;0;0;i
P60201;4;0;i12-40o60-88i152-178o239-266i
P60228;0;0;i
P60321;0;0;i
P60323;0;0;i
P60328;0;0;i
P60329;0;0;i
P60368;0;0;i
P60370;0;Y;n2-9c14/15o
P60371;0;0;i
P60372;0;0;i
P60409;0;0;i
P60410;0;0;i
P60411;0;0;i
P60412;0;0;i
P60468;1;0;o71-90i
P60484;0;0;i
P60507;1;Y;n7-17c22/23o522-543i
P60508;3;Y;n3-10c15/16o109-129i354-374o479-507i
P60510;0;0;i
P60520;0;0;i
P60568;0;Y;n6-17c25/26o
P60602;1;0;o23-43i
P60604;0;0;i
P60660;0;0;i
P60709;0;0;i
P60763;0;0;i
P60842;0;0;i
P60852;1;Y;n13-24c28/29o602-624i
P60866;0;0;i
P60880;0;0;i
P60891;0;0;i
P60896;0;0;i
P60900;0;0;i
P60903;1;0;o67-89i
P60953;0;0;i
P60981;0;0;i
P61006;0;0;i
P61009;1;0;o12-32i
P61011;0;0;i
P61018;0;0;i
P61019;0;0;i
P61020;0;0;i
P61024;0;0;i
P61026;0;Y;n8-16c21/22o
P61073;7;0;o39-64i76-94o114-135i155-174o194-222i242-266o286-305i
P61077;0;0;i
P61081;0;0;i
P61086;0;0;i
P61088;0;0;i
P61106;0;0;i
P61158;0;0;i
P61160;0;0;i
P61163;0;0;i
P61165;2;0;o20-42i54-77o
P61201;0;0;i
P61204;0;0;i
P61218;0;0;i
P61221;0;0;i
P61224;0;0;i
P61225;0;0;i
P61244;0;0;i
P61247;0;0;i
P61254;0;0;i
P61266;1;0;i265-286o
P61278;0;Y;n8-19c24/25o
P61289;0;0;i
P61296;0;0;i
P61313;0;0;i
P61326;0;0;i
P61328;0;0;i
P61353;0;0;i
P61371;0;0;i
P61421;0;0;i
P61457;0;0;i
P61513;0;0;i
P61586;0;0;i
P61587;0;0;i
P61599;0;0;i
P61601;0;0;i
P61604;0;0;i
P61619;10;0;i32-54o74-97i118-137o143-165i172-193o205-221i242-263o283-303i413-431o437-458i
P61626;0;Y;n3-14c18/19o
P61647;0;Y;n6-25c33/34o
P61758;0;0;i
P61764;0;0;i
P61769;0;Y;n4-15c20/21o
P61803;3;0;i30-49o55-73i93-112o
P61812;0;Y;n4-15c20/21o
P61916;0;Y;n3-14c19/20o
P61923;0;0;i
P61925;0;0;i
P61927;0;0;i
P61952;0;0;i
P61956;0;0;i
P61960;0;0;i
P61962;0;0;i
P61964;0;0;i
P61966;0;0;i
P61968;0;0;i
P61970;0;0;i
P61978;0;0;i
P61981;0;0;i
P62068;0;0;i
P62070;0;0;i
P62072;0;0;i
P62079;4;0;i20-41o61-84i96-115o235-258i
P62081;0;0;i
P62136;0;0;i
P62140;0;0;i
P62166;0;0;i
P62191;0;0;i
P62195;0;0;i
P62241;0;0;i
P62244;0;0;i
P62249;0;0;i
P62253;0;0;i
P62256;0;0;i
P62258;0;0;i
P62263;0;0;i
P62266;0;0;i
P62269;0;0;i
P62273;0;0;i
P62277;0;0;i
P62280;0;0;i
P62304;0;0;i
P62306;0;0;i
P62308;0;0;i
P62310;0;0;i
P62312;0;0;i
P62314;0;0;i
P62316;0;0;i
P62318;0;0;i
P62324;0;0;i
P62328;0;0;i
P62330;0;0;i
P62333;0;0;i
P62341;1;Y;n3-13c21/22o81-102i
P62380;0;0;i
P62424;0;0;i
P62487;0;0;i
P62491;0;0;i
P62495;0;0;i
P62508;0;0;i
P62633;0;0;i
P62699;0;0;i
P62701;0;0;i
P62714;0;0;i
P62736;0;0;i
P62745;0;0;i
P62750;0;0;i
P62753;0;0;i
P62760;0;0;i
P62805;0;0;i
P62807;0;0;i
P62820;0;0;i
P62826;0;0;i
P62829;0;0;i
P62834;0;0;i
P62837;0;0;i
P62841;0;0;i
P62847;0;0;i
P62851;0;0;i
P62854;0;0;i
P62857;0;0;i
P62861;0;0;i
P62873;0;0;i
P62875;0;0;i
P62877;0;0;i
P62879;0;0;i
P62888;0;0;i
P62891;0;0;i
P62899;0;0;i
P62906;0;0;i
P62910;0;0;i
P62913;0;0;i
P62917;0;0;i
P62937;0;0;i
P62942;0;0;i
P62945;0;0;i
P62952;2;0;o20-38i45-69o
P62955;3;Y;n9-24c29/30o99-117i129-155o175-201i
P62979;0;0;i
P62987;0;0;i
P62993;0;0;i
P62995;0;0;i
P63000;0;0;i
P63010;0;0;i
P63027;1;0;i93-114o
P63092;0;0;i
P63096;0;0;i
P63098;0;0;i
P63104;0;0;i
P63128;0;0;i
P63146;0;0;i
P63151;0;0;i
P63162;0;0;i
P63165;0;0;i
P63167;0;0;i
P63172;0;0;i
P63173;0;0;i
P63208;0;0;i
P63211;0;0;i
P63218;0;0;i
P63220;0;0;i
P63241;0;0;i
P63244;0;0;i
P63252;2;0;i83-107o156-181i
P63261;0;0;i
P63267;0;0;i
P63272;0;0;i
P63279;0;0;i
P63316;0;0;i
P67775;0;0;i
P67809;0;0;i
P67812;3;0;o18-36i138-156o162-178i
P67870;0;0;i
P67936;0;0;i
P68032;0;0;i
P68036;0;0;i
P68104;0;0;i
P68106;0;0;i
P68133;0;0;i
P68363;0;0;i
P68366;0;0;i
P68371;0;0;i
P68400;0;0;i
P68402;0;0;i
P68431;0;0;i
P68543;0;0;i
P68871;0;0;i
P69849;1;Y;n13-23c31/32o1156-1175i
P69891;0;0;i
P69892;0;0;i
P69905;0;0;i
P78310;1;Y;n3-14c19/20o236-260i
P78314;0;0;i
P78316;0;0;i
P78317;0;0;i
P78318;0;0;i
P78324;1;Y;n14-25c30/31o372-394i
P78325;1;Y;n3-14c20/21o654-678i
P78329;0;Y;n20-31c36/37o
P78330;0;0;i
P78332;0;0;i
P78333;0;Y;n8-19c24/25o
P78334;2;Y;n5-16c20/21o342-366i486-502o
P78337;0;0;i
P78344;0;0;i
P78345;0;0;i
P78346;0;0;i
P78347;0;0;i
P78348;1;0;o44-62i
P78352;0;0;i
P78356;0;Y;n5-13c18/19o
P78357;1;Y;n6-14c19/20o1281-1306i
P78358;1;0;o153-172i
P78362;0;0;i
P78363;13;0;o23-42i654-674o694-719i731-754o760-782i836-857o1373-1394i1680-1702o1728-1748i1760-1779o1791-1816i1828-1846o1879-1896i
P78364;0;0;i
P78367;0;0;i
P78368;0;0;i
P78369;4;0;i7-25o82-104i116-139o159-181i
P78371;0;0;i
P78380;1;0;o32-56i
P78381;8;0;i37-58o64-87i169-188o200-220i232-252o264-289i296-317o323-340i
P78382;8;0;i12-30o42-64i143-160o175-195i207-227o239-262i274-291o297-315i
P78383;8;0;i12-31o51-73i85-105o138-156i168-188o208-227i239-266o278-309i
P78385;0;0;i
P78386;0;0;i
P78395;0;0;i
P78396;0;0;i
P78406;0;0;i
P78410;1;Y;n6-24c29/30o248-271i
P78411;0;0;i
P78412;0;0;i
P78413;0;0;i
P78415;0;0;i
P78417;0;0;i
P78423;1;Y;n12-23c28/29o342-362i
P78424;0;0;i
P78426;0;0;i
P78504;1;Y;n14-24c30/31o1068-1093i
P78508;2;0;i68-89o142-167i
P78509;0;Y;n10-21c25/26o
P78524;0;0;i
P78527;0;0;i
P78536;1;Y;n5-16c21/22o672-694i
P78537;0;0;i
P78539;0;Y;n10-23c30/31o
P78540;0;0;i
P78543;0;Y;n13-24c28/29o
P78545;0;0;i
P78549;0;0;i
P78552;1;Y;n7-18c26/27o344-367i
P78556;0;Y;n7-18c26/27o
P78559;0;0;i
P78560;0;0;i
P78562;1;0;i21-45o
P78563;0;0;i
P79483;1;Y;n11-22c29/30o228-250i
P79522;0;0;i
